1 2 3 4 5
version_number initial_mass initial_z burn_min1 burn_min2
7623 1.5000000000000000E+001 2.0000000000000000E-002 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_degeneracy center_h1 center_he4 center_c12 center_n14 center_o16 center_o18 center_ne22 dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass he_core_radius c_core_radius o_core_radius surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
10 2.5958682111999992E-004 1.4999999999982462E+001 4.1992580069124372E+000 2.5237190067470903E+000 3.5495844165808776E+000 5.4768852476573420E+000 -5.4209657678755434E+000 8.2365632409460900E+000 -1.2929174780845644E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126597E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5778526810052754E+007 9.9950516668767830E+002 9.4805438685805015E+006 -2.1789137415400866E+001 -8.2119646198664014E+001 -9.8999999999999986E+001 -2.1789137415400866E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3187005254657279E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.9704103327542019E-008
11 3.2150418534399988E-004 1.4999999999978099E+001 4.2035703589897775E+000 2.5237650237340730E+000 3.5506394961067209E+000 5.4768536131408201E+000 -5.4211271154848504E+000 8.2363775460404263E+000 -1.2929431676864624E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126597E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5781034801740386E+007 9.8952477988275609E+002 9.3868720913620833E+006 -2.1789612093512652E+001 -8.2121309305259729E+001 -9.8999999999999986E+001 -2.1789612093512652E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3187479932769474E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.0455637728411951E-008
12 3.9580502241279986E-004 1.4999999999972811E+001 4.2073545244648916E+000 2.5238147701614171E+000 3.5515606642618280E+000 5.4768237661266008E+000 -5.4212935728826217E+000 8.2361918760720592E+000 -1.2929700970649721E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5783746501686385E+007 9.8082779036564841E+002 9.3054361728711668E+006 -2.1790087099238768E+001 -8.2122985309448850E+001 -9.8999999999999986E+001 -2.1790087099238768E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3187954938496002E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.1166256129681345E-008
13 4.8496602689535978E-004 1.4999999999966409E+001 4.2104154073624960E+000 2.5238378429940869E+000 3.5523143485698938E+000 5.4768175389754505E+000 -5.4212820422092536E+000 8.2361943171486622E+000 -1.2929651498794554E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126606E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5785004370261248E+007 9.7388753387385009E+002 9.2400825608519875E+006 -2.1790084233777669E+001 -8.2122969869651143E+001 -9.8999999999999986E+001 -2.1790084233777669E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3187952073034904E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.1797286560901005E-008
14 5.9195923227443165E-004 1.4999999999958673E+001 4.2125693926914520E+000 2.5238558994597269E+000 3.5528438166693124E+000 5.4768129885264871E+000 -5.4212715913514646E+000 8.2361959993999658E+000 -1.2929614782333372E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126597E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5785988829965200E+007 9.6902897908003183E+002 9.1943676650889553E+006 -2.1790079168631109E+001 -8.2122950371724968E+001 -9.8999999999999986E+001 -2.1790079168631109E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3187947007888337E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2308938642672500E-008
15 7.2035107872931792E-004 1.4999999999949342E+001 4.2138351047522935E+000 2.5238994735385791E+000 3.5531384576450971E+000 5.4767875730975186E+000 -5.4214430751826317E+000 8.2360101438077518E+000 -1.2929916024208069E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5788364792760100E+007 9.6611200516407609E+002 9.1676105201411620E+006 -2.1790551945216396E+001 -8.2124599362883529E+001 -9.8999999999999986E+001 -2.1790551945216396E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3188419784474032E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2671483982416084E-008
16 8.7442129447518155E-004 1.4999999999938112E+001 4.2142050294984461E+000 2.5239099169241790E+000 3.5532257171388353E+000 5.4767854837953882E+000 -5.4214372412011329E+000 8.2360137203196828E+000 -1.2929892063140869E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5788934292133799E+007 9.6526622572835004E+002 9.1598050282193180E+006 -2.1790538946841526E+001 -8.2124551035420723E+001 -9.8999999999999986E+001 -2.1790538946841526E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3188406786099154E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2890900387588216E-008
17 1.0593055533702177E-003 1.4999999999924624E+001 4.2140218891970971E+000 2.5239622612240145E+000 3.5531537599135801E+000 5.4767621659440318E+000 -5.4216112548906237E+000 8.2358286765046511E+000 -1.2930206418037415E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126602E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5791789044358118E+007 9.6555697769705148E+002 9.1636684970706608E+006 -2.1791018469523760E+001 -8.2126241920752364E+001 -9.8999999999999986E+001 -2.1791018469523760E+001 -9.8999999999999986E+001 -3.7628749457997642E+001 -2.3188886308781793E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2954768388874559E-008
18 1.2811666640442612E-003 1.4999999999908443E+001 4.2133898600151474E+000 2.5239726644391327E+000 3.5529905510105335E+000 5.4767620882407089E+000 -5.4216048802649324E+000 8.2358332958157838E+000 -1.2930193066596981E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126597E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5792356476156283E+007 9.6694001403994719E+002 9.1770141013180502E+006 -2.1790998351649652E+001 -8.2126136959858016E+001 -9.8999999999999986E+001 -2.1790998351649652E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3188866190907675E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2932799988160462E-008
19 1.5473999968531134E-003 1.4999999999889054E+001 4.2127213667413494E+000 2.5240226259461993E+000 3.5527984469385507E+000 5.4767410708088660E+000 -5.4217794791962852E+000 8.2356507125598082E+000 -1.2930514335632324E+001 7.0000000000000007E-001 2.7997020236474890E-001 3.4003348417126606E-003 1.0042037559053040E-003 9.3356817689024645E-003 2.1065151715171654E-005 0.0000000000000000E+000 1.5795081855060156E+007 9.6831813244323655E+002 9.1911508135888223E+006 -2.1791463930662079E+001 -8.2127742867644997E+001 -9.8999999999999986E+001 -2.1791463930662079E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3189331769920503E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.2828482541799553E-008
